word,hint,sentence,bonus,misspellings
surrounded,enclosed on all sides,The castle was surrounded by a deep wide moat.,,surounded|surroundid
skiing,gliding over snow on skis,We went skiing in the mountains during winter break.,,skieing|skying
swimming,moving through water using your body,The children went swimming in the lake all afternoon.,,swiming|swymming
loving,showing love or affection,She gave her puppy a loving pat on the head.,,loveing|lovving
studied,past tense of study,He studied hard for his math test all week.,,studyed|studdied
traveling,going from one place to another,My family is traveling to Europe this summer for vacation.,,travelling|travaling
carried,past tense of carry,She carried the heavy box up three flights of stairs.,,carryed|carreed
trading,exchanging one thing for another,The boys were trading baseball cards during recess today.,,tradeing|tradding
bragged,past tense of brag; boasted,He bragged about winning the race to all his friends.,,braged|bragd
worried,felt anxious or troubled,She worried about the test even though she had studied.,,worryed|woried
beginning,the start of something,The beginning of the movie was very exciting and fast.,,begining|beggining
exciting,causing great enthusiasm,The roller coaster ride was the most exciting part of the trip.,,exciteing|exsiting
finished,completed; done,We finished cleaning the house before our guests arrived.,,finishd|finnished
laughed,past tense of laugh,Everyone laughed at the clown's silly jokes during the show.,,laffed|laughd
quickest,fastest; superlative of quick,She is the quickest runner on our entire track team.,,quickist|quikest
weaker,less strong; comparative of weak,The signal was weaker in the basement than upstairs.,,weeker|weakur
tiniest,smallest; superlative of tiny,The kitten was the tiniest one in the whole litter.,,tinyest|tineyest
lonelier,more lonely; comparative of lonely,The house felt lonelier after everyone moved away last year.,,lonelyer|lonlier
