word,hint,sentence,bonus,misspellings
spoil,to ruin or damage something,Too much sun can spoil the fruit in the garden.,,spoyl|spoile
choice,an act of choosing between options,Picking a topic for the report was a difficult choice.,,choise|choyce
avoid,to stay away from something,We tried to avoid the puddles on our walk to school.,,avoyd|avoide
moisture,a small amount of water in the air or on a surface,The plants need moisture to grow well in the summer.,,moysture|moisher
oyster,a shellfish that can produce pearls,The chef served a plate of fresh oysters at the restaurant.,,oister|oystur
royal,relating to a king or queen,The royal family waved to the crowd from the balcony.,,roial|royel
employ,to give someone a job,The factory plans to employ more workers this year.,,emploi|imploy
annoy,to bother or irritate someone,The buzzing fly began to annoy everyone at the picnic.,,anoy|annoi
ground,the surface of the earth,The leaves fell and covered the ground in the park.,,grownd|grounde
house,a building where people live,Our house has a big yard for playing outside.,,howse|hous
sprout,to begin to grow,The seeds will sprout after a few days of sunshine and water.,,sprowt|sproute
mountain,a very tall landform higher than a hill,We hiked to the top of the mountain to see the view.,,mountin|mowntain
allow,to let something happen,The teacher will allow us to work with a partner today.,,alow|allou
ourselves,reflexive pronoun for us,We made ourselves lunch while our parents were at work.,,ourselfs|owerselves
somehow,in some way not yet known,We will somehow finish the project before the deadline.,,sumhow|somehowe
ounce,a small unit of weight,The recipe calls for one ounce of chocolate chips.,,ownce|ounse
amount,a quantity of something,She saved a large amount of money for her trip.,,amownt|ammount
boundary,a line that marks a limit or edge,The fence marks the boundary between the two yards.,,boundry|boundery
