"series_name","series_number","book_title","author","grade_level","question","correct_answer","wrong_answer_1","wrong_answer_2","wrong_answer_3"
"Thoroughbred","1","A Horse Called Wonder","Joanna Campbell","4-6","What was the name of the Griffen family's own farm before they lost it?","Edgardale","Whitebrook","Townsend Acres","Saddlebrook"
"Thoroughbred","1","A Horse Called Wonder","Joanna Campbell","4-6","What happened to the Griffens' farm that forced them to move?","A virus swept through and killed several mares and a foal","A fire","A flood","They sold it to pay off debt"
"Thoroughbred","1","A Horse Called Wonder","Joanna Campbell","4-6","What was the name of Ashleigh's beloved mare that was lost?","Stardust","Wonder","Holly","Fleet Goddess"
"Thoroughbred","1","A Horse Called Wonder","Joanna Campbell","4-6","What job do Ashleigh's parents take at their new home?","Breeding managers at Townsend Acres","Jockeys","Veterinarians","Stable hands"
"Thoroughbred","1","A Horse Called Wonder","Joanna Campbell","4-6","Which mare gives birth to the sickly foal that becomes ""Wonder""?","Townsend Holly","Stardust","Fleet Goddess","Townsend Pride"
"Thoroughbred","1","A Horse Called Wonder","Joanna Campbell","4-6","Why does everyone else assume the foal won't survive?","She's small and weak","She's born blind","She refuses to nurse","She's born lame"
"Thoroughbred","1","A Horse Called Wonder","Joanna Campbell","4-6","What crusty old trainer helps Ashleigh nurse Wonder back to health?","Charlie Burke","Clay Townsend","Mike Reese","Tom O'Brien"
"Thoroughbred","1","A Horse Called Wonder","Joanna Campbell","4-6","Who becomes Ashleigh's rival at Townsend Acres?","Brad Townsend","Linda March","Jilly","Rory"
"Thoroughbred","1","A Horse Called Wonder","Joanna Campbell","4-6","Why does Ashleigh choose to name the foal ""Wonder""?","Because she is full of wonder","After a favorite comic book character","Because everyone doubts she'll survive","After Ashleigh's grandmother"
"Thoroughbred","1","A Horse Called Wonder","Joanna Campbell","4-6","Who becomes Ashleigh's new friend at her new school?","Linda March","Melanie","Cindy","Jilly"
"Thoroughbred","1","A Horse Called Wonder","Joanna Campbell","4-6","Who is the exercise rider at Townsend Acres who Ashleigh becomes friendly with?","Jilly","Rory","Tom O'Brien","Mike Reese"
"Thoroughbred","2","Wonder's Promise","Joanna Campbell","4-6","About how old is Ashleigh in this book?","13","11","15","16"
"Thoroughbred","2","Wonder's Promise","Joanna Campbell","4-6","What does the owner of Townsend Acres decide to do with Wonder?","Put her into training as a racehorse","Sell her","Retire her to breeding","Give her to Brad"
"Thoroughbred","2","Wonder's Promise","Joanna Campbell","4-6","How does Wonder behave with her new, harsher trainer?","She bucks and disobeys him","She performs perfectly","She refuses to eat","She runs away"
"Thoroughbred","2","Wonder's Promise","Joanna Campbell","4-6","What does the trainer eventually declare about Wonder?","That she's untrainable and useless","That she's a champion in the making","That she should be sold","That she's too small to race"
"Thoroughbred","2","Wonder's Promise","Joanna Campbell","4-6","What happens to Ashleigh that makes her afraid of her own horse?","Wonder throws her fiercely","Wonder bites her","Wonder kicks a groom","Wonder escapes the stable"
"Thoroughbred","2","Wonder's Promise","Joanna Campbell","4-6","Who secretly steps in to bring out Wonder's real potential?","Charlie and Ashleigh, working with Wonder in secret","Brad Townsend","Clay Townsend","A new trainer from out of state"
"Thoroughbred","2","Wonder's Promise","Joanna Campbell","4-6","What family tension distracts Ashleigh over the course of the book?","Her sister becomes interested in Brad Townsend","Her parents are getting divorced","Her brother wants to sell Wonder","Her family is moving again"
"Thoroughbred","2","Wonder's Promise","Joanna Campbell","4-6","During what season do Charlie and Ashleigh work with Wonder in secret?","Winter","Summer","Fall","Spring"
"Thoroughbred","2","Wonder's Promise","Joanna Campbell","4-6","What does Ashleigh grow from and into over the course of the book?","A complaining child into a confident exercise rider","A confident jockey into a nervous beginner","A rider into a trainer","A stranger into a friend"
"Thoroughbred","2","Wonder's Promise","Joanna Campbell","4-6","What is the end result of Charlie and Ashleigh's secret work with Wonder?","Wonder becomes the amazing horse they always believed she could be","Wonder is sold to another farm","Wonder is retired from racing","Wonder is given to Brad"
"Thoroughbred","2","Wonder's Promise","Joanna Campbell","4-6","What official role does Ashleigh have with Wonder at the start of her training?","Groom","Jockey","Trainer","Veterinarian"
"Thoroughbred","3","Wonder's First Race","Joanna Campbell","4-6","What major race are Ashleigh and Charlie preparing Wonder for?","The Kentucky Derby","The Preakness","The Belmont Stakes","The Breeder's Cup"
"Thoroughbred","3","Wonder's First Race","Joanna Campbell","4-6","Where is the story set?","Kentucky, near Lexington","Florida","New York","California"
"Thoroughbred","3","Wonder's First Race","Joanna Campbell","4-6","Who works Wonder too hard on a dangerously icy track, against Ashleigh and Charlie's wishes?","Brad Townsend","Clay Townsend","Linda","A jockey Ashleigh doesn't know"
"Thoroughbred","3","Wonder's First Race","Joanna Campbell","4-6","What injury does Wonder suffer as a result?","An injured shoulder","A broken leg","A cut hoof","Blindness in one eye"
"Thoroughbred","3","Wonder's First Race","Joanna Campbell","4-6","What is the name of Brad's own horse, who he wants to win instead of Wonder?","Townsend Prince","Townsend Pride","Dominator","Townsend Holly"
"Thoroughbred","3","Wonder's First Race","Joanna Campbell","4-6","Why does Brad have so much influence over what happens to Wonder?","His father owns Townsend Acres, so Brad acts like Ashleigh's boss","He owns her outright","He's the head trainer","He's older than Ashleigh"
"Thoroughbred","3","Wonder's First Race","Joanna Campbell","4-6","About how many years of hard work have gone into preparing Wonder for this race?","Two years","One year","Three years","Four years"
"Thoroughbred","3","Wonder's First Race","Joanna Campbell","4-6","According to fans of the book, what does Wonder do throughout the story despite the setbacks?","She tries her hardest no matter what","She gives up on racing","She becomes impossible to handle","She refuses to leave her stall"
