word,hint,sentence,bonus,misspellings
they're,contraction of they are,They're coming over for dinner tonight.,,theyre|thay're
there,"in that place; not ""their"" or ""they're""",Put the box down over there by the door.,,thare|ther
their,"belonging to them; not ""there"" or ""they're""",The students packed their backpacks for the field trip.,,thier|thair
soup,a liquid food often with vegetables or meat,We ate warm soup on the cold winter day.,,soop|supe
night,the time when it is dark outside,The stars shine brightly at night.,,nite|nyte
knight,a soldier who serves a king in armor,The knight rode his horse into the castle.,,knite|nyght
right,correct; or the opposite of left,She raised her right hand to answer the question.,,rite|ryte
write,"to form letters and words; not ""right""",Please write your name at the top of the page.,,wright|writte
weight,"how heavy something is; not ""wait""",The scale showed the weight of the apple.,,wieght|wate
wait,"to stay until something happens; not ""weight""",Please wait here until your name is called.,,wayt|waite
piece,"a part of something; not ""peace""",Can I have a piece of that delicious cake?,,peice|pease
peace,calm and quiet; freedom from conflict,The two countries signed a treaty for peace.,,peece|pece
hour,"a unit of time equal to 60 minutes; not ""our""",We waited for almost an hour at the doctor's office.,,ower|houre
our,"belonging to us; not ""hour""",Our classroom has a big fish tank.,,owr|aur
wrote,past tense of write,She wrote a letter to her pen pal.,,rote|wroat
