word,hint,sentence,bonus,misspellings
gloomy,dark and dull; sad,The sky turned gloomy just before the storm rolled in.,,glumy|gloomey
school,a place where students go to learn,We walk to school together every single morning.,,skool|scool
choose,to pick one option among many,You can choose any book you want from the shelf.,,chooze|chuse
loose,not tight; not firmly attached,The loose button on his shirt finally fell off.,,luse|looze
route,a path taken to get somewhere,We took a shorter route home to beat the traffic.,,root|rute
clue,a piece of information that helps solve something,The detective found a clue hidden under the rug.,,clew|cloo
truth,something that is actually true,She always tells the truth even when it is hard.,,trooth|truthe
duty,a task or responsibility,It is my duty to feed the dog every evening.,,dooty|dutey
ruin,to spoil or destroy something,The heavy rain began to ruin our picnic plans.,,ruen|rooin
Tuesday,the third day of the week,We have soccer practice every Tuesday after school.,,tusday|tuseday
usually,most of the time; normally,I usually eat cereal for breakfast on school days.,,usally|uzually
threw,past tense of throw,He threw the ball across the yard to his dog.,,thru|throo
understood,past tense of understand,She understood the instructions after reading them twice.,,understud|understoud
neighborhood,the area around where you live,Kids in our neighborhood play outside every afternoon.,,nieghborhood|naborhood
rookie,a person who is new at something,The rookie player scored his first goal of the season.,,rooky|rukie
could,was able to; past tense of can,He could hear the birds singing outside his window.,,cood|culd
should,ought to,You should wear a jacket because it is cold outside.,,shood|shuld
bulletin,a short public notice or announcement,The teacher posted a bulletin about the upcoming field trip.,,buletin|bulliten
