word,hint,sentence,bonus,misspellings
obey,to follow rules or instructions,All the campers must obey the safety rules at the pool.,,obay|obei
ocean,a huge body of salt water,We built sandcastles near the edge of the ocean all afternoon.,,oshun|oceon
poem,a piece of writing with rhythm or rhyme,She wrote a poem about her favorite season for class.,,poim|pome
echo,a sound that repeats after bouncing off something,We heard our echo when we shouted into the canyon.,,ecko|eko
hello,a greeting used when meeting someone,She waved and said hello to her new neighbor.,,helo|hellow
wrote,past tense of write,He wrote a letter to his grandmother last weekend.,,rote|wroat
goal,something you are trying to achieve,Her goal this year is to read fifty books.,,gole|goale
approach,to come near something,The dog began to bark as strangers began to approach the house.,,aproach|approche
owner,a person who possesses something,The owner of the bakery greeted every customer with a smile.,,oner|ownur
tomorrow,the day after today,We are going to the zoo tomorrow if it does not rain.,,tommorow|tomorow
program,a planned set of activities or a TV show,My favorite program comes on every Saturday morning.,,progrem|prowgram
broken,damaged; not working,The broken window let cold air into the classroom.,,brokin|broaken
potato,a starchy vegetable that grows underground,She baked a potato to go with our dinner tonight.,,potatoe|patato
throat,the passage inside your neck,He had a sore throat so he drank warm tea.,,throte|throwt
oldest,the greatest in age,My oldest sister just started college this fall.,,oaldest|oldist
followed,past tense of follow,The puppy followed its owner everywhere around the yard.,,folowed|followd
spoken,past participle of speak,She has spoken to the principal about the field trip.,,spokin|spoaken
awoke,past tense of awake,He awoke early to watch the sunrise over the hills.,,awoak|uwoke
